Symbol,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Shares,P&L,Setup Type
TSLA,2026-04-01,09:35,248.50,2026-04-01,10:45,251.20,100,270.00,Range Break
NVDA,2026-04-01,10:15,895.30,2026-04-01,11:30,892.10,50,-160.00,Trending
AAPL,2026-04-01,14:25,175.80,2026-04-01,15:50,177.30,200,300.00,News
META,2026-04-02,09:40,485.20,2026-04-02,10:20,488.90,75,277.50,Range Break
AMD,2026-04-02,11:05,178.50,2026-04-02,12:45,176.80,150,-255.00,Trending
GOOGL,2026-04-02,13:20,142.30,2026-04-02,14:55,143.10,100,80.00,VWAP Bounce
MSFT,2026-04-03,09:45,425.60,2026-04-03,11:15,428.40,80,224.00,Range Break
SPY,2026-04-03,10:35,515.20,2026-04-03,12:10,513.80,200,-280.00,Trending
QQQ,2026-04-03,14:15,445.70,2026-04-03,15:40,447.50,150,270.00,Momentum
TSLA,2026-04-04,09:32,250.10,2026-04-04,10:05,252.80,100,270.00,Range Break
NVDA,2026-04-04,10:50,898.50,2026-04-04,13:25,895.20,50,-165.00,VWAP Bounce
AAPL,2026-04-04,11:45,176.20,2026-04-04,14:30,174.50,200,-340.00,Trending
META,2026-04-07,09:38,487.60,2026-04-07,10:25,491.30,75,277.50,Range Break
AMD,2026-04-07,10:20,179.80,2026-04-07,11:50,181.60,150,270.00,Momentum
GOOGL,2026-04-07,13:45,143.50,2026-04-07,15:20,142.90,100,-60.00,News
MSFT,2026-04-08,09:42,427.30,2026-04-08,10:55,429.80,80,200.00,Range Break
SPY,2026-04-08,11:25,516.40,2026-04-08,13:50,514.20,200,-440.00,VWAP Bounce
QQQ,2026-04-08,14:30,446.90,2026-04-08,15:55,449.10,150,330.00,Trending
TSLA,2026-04-09,09:35,251.70,2026-04-09,10:40,254.50,100,280.00,Range Break
NVDA,2026-04-09,10:45,900.20,2026-04-09,12:15,897.80,50,-120.00,News
AAPL,2026-04-09,13:10,177.40,2026-04-09,15:35,178.90,200,300.00,Momentum
META,2026-04-10,09:36,489.50,2026-04-10,10:30,492.80,75,247.50,Range Break
AMD,2026-04-10,11:15,180.30,2026-04-10,13:40,178.90,150,-210.00,VWAP Bounce
GOOGL,2026-04-10,14:05,144.20,2026-04-10,15:45,145.30,100,110.00,Trending
MSFT,2026-04-11,09:40,428.80,2026-04-11,11:05,431.60,80,224.00,Range Break
SPY,2026-04-11,10:25,517.50,2026-04-11,12:50,519.30,200,360.00,Momentum
QQQ,2026-04-11,13:30,448.20,2026-04-11,15:20,446.50,150,-255.00,News
TSLA,2026-04-14,09:38,253.20,2026-04-14,10:35,255.90,100,270.00,Range Break
NVDA,2026-04-14,11:20,902.10,2026-04-14,14:10,899.40,50,-135.00,VWAP Bounce
AAPL,2026-04-14,14:40,178.60,2026-04-14,15:50,179.80,200,240.00,Trending
META,2026-04-15,09:34,491.20,2026-04-15,10:20,494.50,75,247.50,Range Break
AMD,2026-04-15,10:55,181.70,2026-04-15,13:25,183.80,150,315.00,Momentum
GOOGL,2026-04-15,13:50,145.80,2026-04-15,15:30,144.60,100,-120.00,News
MSFT,2026-04-16,09:43,430.50,2026-04-16,10:50,433.20,80,216.00,Range Break
SPY,2026-04-16,11:35,518.80,2026-04-16,14:15,517.10,200,-340.00,VWAP Bounce
QQQ,2026-04-16,14:25,449.60,2026-04-16,15:55,451.90,150,345.00,Trending
TSLA,2026-04-17,09:37,254.80,2026-04-17,10:45,257.30,100,250.00,Range Break
NVDA,2026-04-17,10:30,904.50,2026-04-17,12:40,901.20,50,-165.00,Trending
AAPL,2026-04-17,13:15,179.90,2026-04-17,15:40,181.40,200,300.00,Momentum
META,2026-04-18,09:39,493.80,2026-04-18,10:35,496.90,75,232.50,Range Break
AMD,2026-04-18,11:25,182.40,2026-04-18,13:55,180.70,150,-255.00,VWAP Bounce
GOOGL,2026-04-18,14:10,146.30,2026-04-18,15:45,147.50,100,120.00,News
MSFT,2026-04-21,09:41,431.90,2026-04-21,10:55,434.50,80,208.00,Range Break
SPY,2026-04-21,10:40,519.60,2026-04-21,13:20,521.80,200,440.00,Momentum
QQQ,2026-04-21,14:35,450.80,2026-04-21,15:50,449.20,150,-240.00,Trending
TSLA,2026-04-22,09:36,256.40,2026-04-22,10:50,259.10,100,270.00,Range Break
NVDA,2026-04-22,11:10,906.20,2026-04-22,14:25,903.50,50,-135.00,VWAP Bounce
AAPL,2026-04-22,14:20,180.70,2026-04-22,15:55,182.30,200,320.00,News
META,2026-04-23,09:35,495.60,2026-04-23,10:25,498.80,75,240.00,Range Break
AMD,2026-04-23,10:45,183.90,2026-04-23,13:10,186.20,150,345.00,Momentum
GOOGL,2026-04-23,13:40,147.90,2026-04-23,15:35,146.70,100,-120.00,Trending
